pozycja,term,n,y0,peak_year,docs_total,prevalence_2021_2025
267,keyword,1,2015,2024,409,0.002901494269548818
268,healthcare system,2,2019,2024,377,0.0028869867982010736
269,multivariate regression analysis,3,2014,2019,435,0.0028724793268533294
270,demographic information,2,2018,2023,383,0.0028724793268533294
271,matched cohort,2,2016,2023,415,0.0028434643841578414
272,standardized mean difference,3,2014,2025,373,0.002828956912810097
273,lateral center edge angle,4,2015,2023,363,0.002828956912810097
274,methodological index,2,2017,2025,303,0.002828956912810097
275,observation group,2,2019,2025,275,0.002828956912810097
276,frailty,1,2021,2025,257,0.002814449441462353
277,independent sample t test,4,2021,2025,350,0.002799941970114609
278,cnki,1,2015,2024,358,0.002785434498766865
279,increased odd,2,2016,2022,348,0.002785434498766865
280,1 1 ratio,3,2019,2025,309,0.002785434498766865
281,retear,1,2018,2024,425,0.0027709270274191206
282,medial unicompartmental knee arthroplasty,4,2014,2025,410,0.0027709270274191206
283,subjective shoulder value,3,2018,2021,400,0.0027709270274191206
284,ethnicity,1,2022,2024,337,0.0027709270274191206
285,aseptic revision,2,2017,2023,328,0.0027709270274191206
286,narrative review,2,2019,2025,292,0.0027709270274191206
287,mental health,2,2023,2025,398,0.002756419556071377
288,included patient,2,2017,2024,310,0.002756419556071377
289,receiver operating characteristic roc curve,5,2018,2025,287,0.002756419556071377
290,3d printing,2,2017,2025,336,0.0027274046133758884
291,pao,1,2012,2024,398,0.0027128971420281446
292,quick disability,2,2015,2025,363,0.0027128971420281446
293,mme,1,2019,2025,248,0.0027128971420281446
294,registry,1,2019,2024,485,0.0026983896706804004
295,numerical rating scale,3,2017,2025,355,0.0026983896706804004
296,surgical duration,2,2017,2025,298,0.0026983896706804004
297,cochrane database,2,2017,2021,466,0.002683882199332656
298,eligibility criterion,2,2015,2022,435,0.002683882199332656
299,national database,2,2017,2023,343,0.002683882199332656
300,cutoff value,2,2016,2024,325,0.002683882199332656
301,mean bmi,2,2018,2025,325,0.0026693747279849123
302,geriatric patient,2,2022,2024,383,0.002654867256637168
303,30 day readmission,3,2015,2023,420,0.002640359785289424
304,cms,1,2015,2025,372,0.002640359785289424
305,fai,1,2012,2021,572,0.002582329899898448
306,cbct,1,2012,2023,360,0.002582329899898448
307,predictive model,2,2018,2024,304,0.002582329899898448
308,csa,1,2019,2025,359,0.0025678224285507036
309,two independent reviewer,3,2021,2025,357,0.0025678224285507036
310,primary hip arthroscopy,3,2019,2021,256,0.0025678224285507036
311,psi,1,2013,2025,437,0.0025533149572029594
312,drf,1,2017,2023,341,0.0025533149572029594
313,significantly lower rate,3,2023,2025,310,0.0025533149572029594
314,phf,1,2019,2025,273,0.0025533149572029594
315,koa,1,2020,2024,236,0.0025533149572029594
316,onfh,1,2018,2025,386,0.0025388074858552156
317,ais patient,2,2016,2025,348,0.0025388074858552156
318,patient quality,2,2018,2025,380,0.0025243000145074713
319,n s,2,2010,2018,605,0.002509792543159727
320,shorter operation time,3,2019,2022,386,0.002509792543159727
321,tobacco use,2,2018,2024,343,0.002509792543159727
322,nine study,2,2017,2025,337,0.002509792543159727
323,systematic literature search,3,2018,2025,328,0.002509792543159727
324,2 cohort,2,2015,2023,352,0.0024952850718119833
325,ka,1,2016,2025,296,0.0024952850718119833
326,scoping review,2,2021,2025,210,0.0024952850718119833
