grupa,rok_szczytu,powiklanie,y0_powiklania,wyprzedzenie_lat,wyprzedza,prac_grupy,prac_powiklania,wspolnych,krotnosc,pasmo
short stem,2021,onfh,2015,-6,True,258,386,7,19.1,bez zaniku
targeted muscle reinnervation,2023,plp,2023,0,False,146,161,22,253.9,bez zaniku
total ankle arthroplasty,2023,end stage ankle arthritis,2015,-8,True,853,236,104,140.2,bez zaniku
total ankle arthroplasty,2023,end stage osteoarthritis,2014,-9,True,853,295,11,11.9,bez zaniku
total disc replacement,2015,ddd,2014,-1,True,438,206,33,99.2,3. BRAK przekonujacych dowodow
total disc replacement,2015,adjacent segment degeneration,2004,-11,True,438,682,34,30.9,3. BRAK przekonujacych dowodow
total disc replacement,2015,adjacent segment disease,2010,-5,True,438,640,21,20.3,3. BRAK przekonujacych dowodow
total disc replacement,2015,asd,2013,-2,True,438,1202,17,8.8,3. BRAK przekonujacych dowodow
total disc replacement,2015,dysphagia,2016,1,False,438,651,6,5.7,3. BRAK przekonujacych dowodow
total elbow arthroplasty,2025,distal humerus fracture,2022,-3,True,321,219,24,92.6,bez zaniku
transforaminal lumbar interbody fusion,2024,lumbar degenerative disease,2012,-12,True,1234,511,87,37.4,bez zaniku
transforaminal lumbar interbody fusion,2024,degenerative lumbar disease,2015,-9,True,1234,259,39,33.1,bez zaniku
transforaminal lumbar interbody fusion,2024,ldd,2023,-1,True,1234,87,11,27.8,bez zaniku
transforaminal lumbar interbody fusion,2024,cage subsidence,2017,-7,True,1234,446,55,27.1,bez zaniku
transforaminal lumbar interbody fusion,2024,back and leg pain,2010,-14,True,1234,358,36,22.1,bez zaniku
transforaminal lumbar interbody fusion,2024,dls,2021,-3,True,1234,152,13,18.8,bez zaniku
transforaminal lumbar interbody fusion,2024,ddd,2014,-10,True,1234,206,14,14.9,bez zaniku
transforaminal lumbar interbody fusion,2024,adjacent segment degeneration,2004,-20,True,1234,682,41,13.2,bez zaniku
transforaminal lumbar interbody fusion,2024,adjacent segment disease,2010,-14,True,1234,640,38,13.1,bez zaniku
transforaminal lumbar interbody fusion,2024,asd,2013,-11,True,1234,1202,55,10.1,bez zaniku
transforaminal lumbar interbody fusion,2024,lss,2018,-6,True,1234,340,9,5.8,bez zaniku
unicompartmental knee arthroplasty,2024,koa,2020,-4,True,2005,234,27,15.6,bez zaniku
unicompartmental knee arthroplasty,2024,varus knee,2020,-4,True,2005,237,11,6.3,bez zaniku
unicompartmental knee arthroplasty,2024,knee osteoarthritis,2015,-9,True,2005,1991,85,5.8,bez zaniku
unilateral anterior cruciate ligament reconstruction,2018,knee injury,2016,-2,True,175,1153,12,16.1,bez zaniku
unilateral anterior cruciate ligament reconstruction,2018,knee osteoarthritis,2015,-3,True,175,1991,9,7.0,bez zaniku
vertebral augmentation,2025,ovcf,2011,-14,True,886,601,232,118.2,bez zaniku
vertebral augmentation,2025,bone cement leakage,2019,-6,True,886,207,72,106.5,bez zaniku
vertebral augmentation,2025,osteoporotic vertebral compression fracture,2016,-9,True,886,928,295,97.4,bez zaniku
vertebral augmentation,2025,vcf,2005,-20,True,886,312,78,76.6,bez zaniku
vertebral augmentation,2025,cement leakage,2009,-16,True,886,646,157,74.4,bez zaniku
vertebral augmentation,2025,chronic obstructive pulmonary disease,2015,-10,True,886,262,5,5.8,bez zaniku
volar locking plate,2024,drf,2017,-7,True,363,343,71,154.7,bez zaniku
