pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
236,machine learning,2,2019,2023,270,0.324,0.384,technologia,,True,True
237,provider,1,2018,2020,609,0.321,0.448,metoda,,False,False
238,secondary outcome measure,3,2014,2020,659,0.319,0.435,metoda,,False,False
239,correlation analysis,2,2020,2025,454,0.319,0.495,metoda,,False,False
240,pts,1,2017,2025,347,0.318,0.502,parametr,posterior tibial slope,False,False
241,two reviewer,2,2017,2023,564,0.316,0.384,metoda,,False,False
242,trial registration number,3,2015,2025,389,0.316,0.43,metoda,,False,False
243,roc curve,2,2021,2023,384,0.316,0.376,metoda,,False,False
244,fjs,1,2019,2025,286,0.315,0.445,skala,forgotten joint score,False,False
245,lesson,1,2017,2018,674,0.313,0.617,metoda,,False,False
246,discharge disposition,2,2015,2024,454,0.313,0.369,organizacja,,False,False
247,mean body mass index,4,2017,2025,466,0.312,0.387,metoda,,False,False
248,anatomic total shoulder arthroplasty,4,2017,2023,400,0.312,0.36,technika,,True,True
249,rtka,1,2019,2025,301,0.312,0.359,niejasne,,False,False
250,robotic assisted total knee arthroplasty,5,2021,2025,244,0.312,0.653,technologia,,True,True
251,disparity,1,2022,2024,369,0.31,0.405,organizacja,,False,False
252,mcs,1,2015,2025,474,0.309,0.366,skala,mental component score,False,False
253,sa,1,2016,2024,404,0.308,0.354,metoda,,False,False
254,newcastle ottawa scale,3,2019,2025,321,0.308,0.481,metoda,,False,False
255,covid 19 pandemic,3,2020,2020,289,0.308,0.485,organizacja,,False,True
256,ai,1,2019,2025,324,0.306,0.517,technologia,artificial intelligence,True,False
257,study protocol,2,2015,2025,445,0.302,0.38,metoda,,False,True
258,network meta analysis,3,2017,2024,332,0.302,0.412,metoda,,False,True
259,pjis,1,2018,2024,338,0.3,0.369,rozpoznanie,periprosthetic joint infection,True,False
260,fnf,1,2018,2024,331,0.3,0.376,rozpoznanie,femoral neck fracture,True,False
261,mid term follow up,4,2013,2021,494,0.299,0.359,metoda,,False,False
262,pjk,1,2016,2025,357,0.297,0.352,rozpoznanie,proximal junctional kyphosis,True,False
263,fais,1,2019,2023,258,0.296,0.328,rozpoznanie,femoroacetabular impingement syndrome,True,False
